nodeID, x_location, y_location, parentID, parent_x_location, parent_y_location
498, 92.27134, 90.30688, 217, 87.281296, 88.72847
594, 92.58098, 86.788315, 217, 87.281296, 88.72847
415, 93.470924, 82.10194, 286, 89.91564, 82.6199
594, 92.58098, 86.788315, 286, 89.91564, 82.6199
262, 83.571335, 61.55319, 137, 85.84022, 66.015465
284, 85.95934, 61.915733, 137, 85.84022, 66.015465
550, 81.359116, 63.398254, 137, 85.84022, 66.015465
77, 73.38733, 68.48638, 216, 71.17351, 72.86835
952, 98.68522, 6.74768, 802, 94.602036, 5.194198
249, 58.518166, 58.218136, 987, 53.82503, 61.092068
969, 56.66206, 64.02099, 987, 53.82503, 61.092068
265, 94.316986, 70.21382, 36, 90.4722, 74.16291
712, 95.42443, 74.32138, 36, 90.4722, 74.16291
873, 94.6916, 75.11573, 36, 90.4722, 74.16291
3, 79.5955, 38.08475, 355, 82.44994, 34.63095
854, 80.85707, 34.272064, 355, 82.44994, 34.63095
265, 94.316986, 70.21382, 384, 89.9776, 70.96387
870, 92.58685, 67.26505, 384, 89.9776, 70.96387
415, 93.470924, 82.10194, 419, 89.97098, 80.62926
173, 93.90031, 80.93773, 419, 89.97098, 80.62926
931, 95.003395, 80.33851, 419, 89.97098, 80.62926
597, 62.70053, 70.96388, 998, 64.9751, 76.266106
622, 97.72556, 21.302177, 295, 95.71122, 20.715666
972, 94.402916, 6.412223, 218, 93.8002, 5.584832
789, 96.77029, 35.927795, 510, 95.083755, 29.810486
880, 97.64385, 32.118847, 510, 95.083755, 29.810486
952, 98.68522, 6.74768, 984, 92.23381, 2.925849
96, 89.450066, 95.80595, 111, 85.06789, 93.51141
217, 87.281296, 88.72847, 111, 85.06789, 93.51141
223, 89.640976, 95.91413, 111, 85.06789, 93.51141
287, 89.99355, 65.56931, 856, 88.592445, 70.1774
870, 92.58685, 67.26505, 856, 88.592445, 70.1774
137, 85.84022, 66.015465, 409, 86.467255, 67.533035
287, 89.99355, 65.56931, 409, 86.467255, 67.533035
549, 83.42702, 65.811615, 409, 86.467255, 67.533035
678, 89.34743, 64.19993, 409, 86.467255, 67.533035
794, 86.77268, 64.545235, 409, 86.467255, 67.533035
996, 83.251335, 66.6457, 409, 86.467255, 67.533035
154, 88.70307, 85.85536, 206, 86.08273, 85.8691
579, 90.53306, 86.13482, 206, 86.08273, 85.8691
15, 97.41915, 26.221899, 196, 94.970634, 24.38731
275, 97.285225, 29.750816, 196, 94.970634, 24.38731
332, 98.66801, 29.801706, 196, 94.970634, 24.38731
719, 99.334274, 29.058664, 196, 94.970634, 24.38731
755, 98.974014, 28.682728, 196, 94.970634, 24.38731
755, 98.974014, 28.682728, 323, 94.4784, 22.604544
84, 87.98836, 95.91169, 470, 83.92536, 95.71391
245, 87.98664, 95.05816, 470, 83.92536, 95.71391
84, 87.98836, 95.91169, 388, 83.50275, 96.166306
245, 87.98664, 95.05816, 388, 83.50275, 96.166306
749, 86.01903, 96.52577, 388, 83.50275, 96.166306
961, 96.85459, 15.008658, 605, 92.2358, 11.549381
221, 98.05628, 42.17465, 152, 91.70567, 41.323776
349, 99.12032, 41.6922, 152, 91.70567, 41.323776
905, 88.990425, 46.4798, 152, 91.70567, 41.323776
458, 67.116394, 22.665314, 555, 68.035164, 20.27474
689, 65.56111, 25.984667, 555, 68.035164, 20.27474
662, 81.131744, 99.13069, 626, 80.6096, 99.390366
243, 81.49203, 40.438385, 215, 86.15958, 38.333992
267, 80.64668, 38.510227, 215, 86.15958, 38.333992
345, 84.63036, 38.20409, 215, 86.15958, 38.333992
423, 82.80956, 42.548313, 215, 86.15958, 38.333992
977, 82.88017, 38.128902, 215, 86.15958, 38.333992
224, 48.22304, 75.02453, 92, 44.018692, 79.02351
622, 97.72556, 21.302177, 183, 92.616905, 19.791006
972, 94.402916, 6.412223, 435, 89.893974, 2.285962
510, 95.083755, 29.810486, 938, 92.884514, 23.75989
767, 91.54766, 12.022859, 819, 91.287544, 11.269949
961, 96.85459, 15.008658, 819, 91.287544, 11.269949
333, 77.22067, 69.171165, 640, 80.11723, 71.980156
183, 92.616905, 19.791006, 505, 92.268524, 17.92095
295, 95.71122, 20.715666, 505, 92.268524, 17.92095
565, 98.69268, 18.901056, 505, 92.268524, 17.92095
15, 97.41915, 26.221899, 118, 92.91692, 22.165276
38, 83.372894, 70.08922, 547, 86.27222, 70.9485
348, 82.63067, 68.023636, 547, 86.27222, 70.9485
137, 85.84022, 66.015465, 547, 86.27222, 70.9485
996, 83.251335, 66.6457, 547, 86.27222, 70.9485
961, 96.85459, 15.008658, 644, 90.843834, 13.866188
152, 91.70567, 41.323776, 40, 91.78801, 37.43456
655, 99.051125, 36.0928, 40, 91.78801, 37.43456
961, 96.85459, 15.008658, 554, 90.44057, 14.960709
383, 85.63508, 98.29405, 568, 81.13466, 97.57071
749, 86.01903, 96.52577, 568, 81.13466, 97.57071
959, 86.51327, 99.84268, 568, 81.13466, 97.57071
471, 97.014465, 43.992313, 591, 91.08022, 38.78629
152, 91.70567, 41.323776, 591, 91.08022, 38.78629
979, 97.614655, 42.05575, 591, 91.08022, 38.78629
118, 92.91692, 22.165276, 351, 92.543686, 21.408146
323, 94.4784, 22.604544, 351, 92.543686, 21.408146
295, 95.71122, 20.715666, 351, 92.543686, 21.408146
196, 94.970634, 24.38731, 351, 92.543686, 21.408146
565, 98.69268, 18.901056, 351, 92.543686, 21.408146
622, 97.72556, 21.302177, 351, 92.543686, 21.408146
642, 94.6009, 21.664738, 351, 92.543686, 21.408146
938, 92.884514, 23.75989, 351, 92.543686, 21.408146
706, 37.13786, 73.2217, 832, 33.19975, 76.56982
632, 35.50333, 74.406654, 832, 33.19975, 76.56982
326, 95.93806, 8.358211, 113, 90.17737, 5.221138
952, 98.68522, 6.74768, 113, 90.17737, 5.221138
972, 94.402916, 6.412223, 113, 90.17737, 5.221138
384, 89.9776, 70.96387, 495, 87.35122, 72.91802
38, 83.372894, 70.08922, 495, 87.35122, 72.91802
409, 86.467255, 67.533035, 495, 87.35122, 72.91802
69, 89.59547, 67.77249, 495, 87.35122, 72.91802
547, 86.27222, 70.9485, 495, 87.35122, 72.91802
856, 88.592445, 70.1774, 495, 87.35122, 72.91802
217, 87.281296, 88.72847, 81, 82.821526, 88.08472
867, 82.46468, 86.34585, 81, 82.821526, 88.08472
384, 89.9776, 70.96387, 381, 87.49427, 75.17793
547, 86.27222, 70.9485, 381, 87.49427, 75.17793
583, 93.16161, 74.618225, 381, 87.49427, 75.17793
856, 88.592445, 70.1774, 381, 87.49427, 75.17793
632, 35.50333, 74.406654, 745, 30.429848, 73.738464
266, 32.14731, 74.36749, 745, 30.429848, 73.738464
887, 32.9904, 71.92639, 745, 30.429848, 73.738464
644, 90.843834, 13.866188, 683, 89.764656, 10.4253
554, 90.44057, 14.960709, 683, 89.764656, 10.4253
356, 95.96093, 36.440136, 360, 91.18898, 35.462284
591, 91.08022, 38.78629, 360, 91.18898, 35.462284
789, 96.77029, 35.927795, 360, 91.18898, 35.462284
152, 91.70567, 41.323776, 414, 89.85475, 38.066425
326, 95.93806, 8.358211, 790, 89.596985, 8.885246
767, 91.54766, 12.022859, 790, 89.596985, 8.885246
605, 92.2358, 11.549381, 790, 89.596985, 8.885246
644, 90.843834, 13.866188, 790, 89.596985, 8.885246
111, 85.06789, 93.51141, 376, 82.780396, 92.71121
81, 82.821526, 88.08472, 376, 82.780396, 92.71121
450, 87.77639, 92.47724, 376, 82.780396, 92.71121
749, 86.01903, 96.52577, 376, 82.780396, 92.71121
245, 87.98664, 95.05816, 376, 82.780396, 92.71121
170, 88.786095, 92.5838, 376, 82.780396, 92.71121
377, 83.70063, 86.37656, 376, 82.780396, 92.71121
866, 83.088646, 37.575817, 898, 86.39376, 36.39462
345, 84.63036, 38.20409, 898, 86.39376, 36.39462
977, 82.88017, 38.128902, 898, 86.39376, 36.39462
218, 93.8002, 5.584832, 612, 88.44227, 2.614645
802, 94.602036, 5.194198, 612, 88.44227, 2.614645
597, 62.70053, 70.96388, 670, 63.73063, 78.25158
356, 95.96093, 36.440136, 901, 90.183136, 35.080208
414, 89.85475, 38.066425, 901, 90.183136, 35.080208
591, 91.08022, 38.78629, 901, 90.183136, 35.080208
605, 92.2358, 11.549381, 736, 88.423134, 10.112932
644, 90.843834, 13.866188, 736, 88.423134, 10.112932
554, 90.44057, 14.960709, 736, 88.423134, 10.112932
767, 91.54766, 12.022859, 736, 88.423134, 10.112932
152, 91.70567, 41.323776, 404, 89.42357, 36.19327
414, 89.85475, 38.066425, 404, 89.42357, 36.19327
591, 91.08022, 38.78629, 404, 89.42357, 36.19327
268, 60.139877, 25.15038, 182, 54.13539, 25.844631
380, 54.44177, 24.350437, 182, 54.13539, 25.844631
971, 57.677586, 24.513077, 182, 54.13539, 25.844631
605, 92.2358, 11.549381, 452, 87.54136, 10.449967
644, 90.843834, 13.866188, 452, 87.54136, 10.449967
767, 91.54766, 12.022859, 452, 87.54136, 10.449967
736, 88.423134, 10.112932, 777, 88.552124, 6.353789
452, 87.54136, 10.449967, 777, 88.552124, 6.353789
683, 89.764656, 10.4253, 777, 88.552124, 6.353789
218, 93.8002, 5.584832, 777, 88.552124, 6.353789
790, 89.596985, 8.885246, 777, 88.552124, 6.353789
802, 94.602036, 5.194198, 777, 88.552124, 6.353789
819, 91.287544, 11.269949, 777, 88.552124, 6.353789
972, 94.402916, 6.412223, 777, 88.552124, 6.353789
880, 97.64385, 32.118847, 925, 91.22189, 31.059645
510, 95.083755, 29.810486, 925, 91.22189, 31.059645
901, 90.183136, 35.080208, 925, 91.22189, 31.059645
360, 91.18898, 35.462284, 925, 91.22189, 31.059645
404, 89.42357, 36.19327, 925, 91.22189, 31.059645
275, 97.285225, 29.750816, 925, 91.22189, 31.059645
40, 91.78801, 37.43456, 925, 91.22189, 31.059645
38, 83.372894, 70.08922, 62, 80.45209, 72.937195
333, 77.22067, 69.171165, 62, 80.45209, 72.937195
348, 82.63067, 68.023636, 62, 80.45209, 72.937195
40, 91.78801, 37.43456, 592, 88.522, 38.256947
152, 91.70567, 41.323776, 592, 88.522, 38.256947
367, 88.96353, 38.322952, 592, 88.522, 38.256947
488, 87.6351, 37.53323, 592, 88.522, 38.256947
414, 89.85475, 38.066425, 592, 88.522, 38.256947
201, 87.76341, 39.460724, 592, 88.522, 38.256947
280, 88.65638, 39.90939, 592, 88.522, 38.256947
591, 91.08022, 38.78629, 592, 88.522, 38.256947
696, 87.61843, 37.640957, 592, 88.522, 38.256947
154, 88.70307, 85.85536, 125, 85.625114, 81.95089
286, 89.91564, 82.6199, 125, 85.625114, 81.95089
154, 88.70307, 85.85536, 186, 85.94801, 81.06149
286, 89.91564, 82.6199, 186, 85.94801, 81.06149
419, 89.97098, 80.62926, 186, 85.94801, 81.06149
292, 83.13598, 36.111294, 257, 85.737404, 34.79157
